# Wavenumber	Transmittence
1296.00	0.836400
1286.00	0.838200
1416.00	0.803920
1341.00	0.828900
1401.00	0.801980
1266.00	0.839540
1396.00	0.791060
1271.00	0.839580
1351.00	0.831080
1376.00	0.792380
1366.00	0.820360
1306.00	0.833740
1381.00	0.780600
1391.00	0.779980
1406.00	0.807340
1371.00	0.807380
1326.00	0.830860
1261.00	0.838880
1421.00	0.800380
1281.00	0.838640
1276.00	0.839120
1316.00	0.831900
1386.00	0.776800
1291.00	0.837660
1301.00	0.834980
1336.00	0.829600
1256.00	0.837260
1331.00	0.830300
1411.00	0.806640
1426.00	0.803460
1361.00	0.829300
1311.00	0.832580
1321.00	0.831400
1346.00	0.829080
1251.00	0.836920
1356.00	0.832000
