# Wavenumber	Transmittence
1011.00	0.841400
1076.00	0.782080
1116.00	0.838400
1026.00	0.808840
1086.00	0.794340
1036.00	0.794580
1121.00	0.846540
961.00	0.854680
1091.00	0.801720
1136.00	0.849900
951.00	0.854100
1096.00	0.814540
981.00	0.851180
936.00	0.846360
1066.00	0.792680
1111.00	0.832020
956.00	0.854820
1106.00	0.831880
1131.00	0.850720
996.00	0.847280
1126.00	0.850120
926.00	0.844180
1031.00	0.791240
1051.00	0.811160
1081.00	0.794380
1016.00	0.837460
1061.00	0.800740
1006.00	0.843900
1021.00	0.828440
986.00	0.849920
991.00	0.848620
976.00	0.852280
1041.00	0.799360
1071.00	0.783100
971.00	0.853280
1101.00	0.826000
946.00	0.852600
941.00	0.848580
1001.00	0.845920
1046.00	0.807360
1056.00	0.806180
966.00	0.854160
931.00	0.845260
