# Wavenumber Transmittence
1716.00 0.828200
1826.00 0.828800
1776.00 0.820540
1736.00 0.824060
1756.00 0.831040
1831.00 0.827600
1806.00 0.811380
1711.00 0.829960
1771.00 0.824000
1801.00 0.807560
1706.00 0.831480
1851.00 0.815420
1811.00 0.815480
1836.00 0.825160
1746.00 0.831500
1751.00 0.831840
1721.00 0.826340
1816.00 0.821880
1786.00 0.813120
1731.00 0.824200
1726.00 0.825040
1796.00 0.807000
1741.00 0.826020
1861.00 0.804300
1856.00 0.809720
1846.00 0.816020
1841.00 0.821140
1761.00 0.828860
1821.00 0.827380
1766.00 0.826480
1791.00 0.809540
1781.00 0.816860
