# Wavenumber,Transmittence
921.00,0.843880
846.00,0.841200
926.00,0.844180
881.00,0.843140
861.00,0.844300
906.00,0.845000
831.00,0.832100
901.00,0.844540
841.00,0.838840
956.00,0.854820
866.00,0.844980
876.00,0.845640
951.00,0.854100
911.00,0.844860
891.00,0.838120
966.00,0.854160
871.00,0.845080
856.00,0.843380
961.00,0.854680
976.00,0.852280
896.00,0.841280
946.00,0.852600
936.00,0.846360
886.00,0.839760
981.00,0.851180
931.00,0.845260
941.00,0.848580
851.00,0.842460
986.00,0.849920
916.00,0.844400
836.00,0.835140
971.00,0.853280
