# Wavenumber	Transmittence
551.00	0.867080
586.00	0.875980
496.00	0.871440
636.00	0.869540
601.00	0.875960
461.00	0.788240
656.00	0.858800
606.00	0.875300
691.00	0.663680
651.00	0.861960
631.00	0.870740
516.00	0.866700
591.00	0.876140
581.00	0.875540
511.00	0.869920
566.00	0.872500
561.00	0.870720
541.00	0.863700
686.00	0.702340
676.00	0.752280
646.00	0.864660
576.00	0.874900
621.00	0.872960
571.00	0.873820
696.00	0.404040
476.00	0.838200
546.00	0.865380
506.00	0.872020
521.00	0.861760
626.00	0.871840
481.00	0.845540
531.00	0.860500
471.00	0.819700
486.00	0.856180
641.00	0.867260
466.00	0.782880
661.00	0.854620
596.00	0.876260
501.00	0.872600
616.00	0.873920
666.00	0.845980
611.00	0.874600
681.00	0.716000
536.00	0.862060
671.00	0.797500
556.00	0.868880
526.00	0.859220
491.00	0.867160
456.00	0.795540
