# Wavenumber,Transmittence
1961.00,0.823860
1966.00,0.828340
2026.00,0.839400
2036.00,0.839220
2041.00,0.839060
1951.00,0.809120
2071.00,0.840920
1946.00,0.803140
2046.00,0.839360
2061.00,0.840420
2021.00,0.839400
1956.00,0.817040
2016.00,0.839280
1976.00,0.838940
1931.00,0.813960
2006.00,0.838880
1971.00,0.834500
2051.00,0.839740
2066.00,0.840680
1991.00,0.837800
1926.00,0.819500
2031.00,0.839380
1981.00,0.838560
1986.00,0.837880
1936.00,0.811720
1921.00,0.825440
2011.00,0.839080
1941.00,0.807640
1916.00,0.828160
2001.00,0.838620
2056.00,0.840080
1996.00,0.838120
