# Wavenumber Transmittence
776.00 0.841260
936.00 0.846360
871.00 0.845080
891.00 0.838120
856.00 0.843380
786.00 0.844800
901.00 0.844540
906.00 0.845000
781.00 0.839680
831.00 0.832100
921.00 0.843880
851.00 0.842460
811.00 0.841200
791.00 0.841320
916.00 0.844400
816.00 0.836420
821.00 0.838200
941.00 0.848580
861.00 0.844300
806.00 0.841500
896.00 0.841280
911.00 0.844860
881.00 0.843140
866.00 0.844980
801.00 0.839520
926.00 0.844180
766.00 0.839160
886.00 0.839760
946.00 0.852600
846.00 0.841200
956.00 0.854820
841.00 0.838840
796.00 0.839020
931.00 0.845260
771.00 0.840960
836.00 0.835140
951.00 0.854100
826.00 0.835960
876.00 0.845640
