# Wavenumber Transmittence
3216.00 0.866900
3331.00 0.868720
3381.00 0.871340
3271.00 0.865040
3281.00 0.865680
3391.00 0.872140
3346.00 0.869480
3231.00 0.865220
3251.00 0.864640
3236.00 0.865020
3396.00 0.872560
3241.00 0.864880
3371.00 0.870720
3276.00 0.865380
3286.00 0.865980
3311.00 0.867520
3341.00 0.869220
3261.00 0.864440
3291.00 0.866280
3326.00 0.868420
3256.00 0.864520
3221.00 0.866340
3301.00 0.866920
3401.00 0.872940
3266.00 0.864760
3296.00 0.866580
3246.00 0.864760
3226.00 0.865800
3356.00 0.869980
3306.00 0.867180
3351.00 0.869720
3336.00 0.868980
3366.00 0.870480
3211.00 0.867260
3361.00 0.870220
3406.00 0.873360
3316.00 0.867820
3376.00 0.870980
3206.00 0.866740
3386.00 0.871760
3321.00 0.868120
