# Wavenumber	Transmittence
3411.00	0.873740
3421.00	0.874420
3406.00	0.873360
3351.00	0.869720
3356.00	0.869980
3396.00	0.872560
3426.00	0.874680
3361.00	0.870220
3301.00	0.866920
3326.00	0.868420
3336.00	0.868980
3386.00	0.871760
3401.00	0.872940
3321.00	0.868120
3376.00	0.870980
3381.00	0.871340
3296.00	0.866580
3366.00	0.870480
3276.00	0.865380
3436.00	0.875180
3291.00	0.866280
3281.00	0.865680
3316.00	0.867820
3286.00	0.865980
3431.00	0.874920
3371.00	0.870720
3271.00	0.865040
3346.00	0.869480
3311.00	0.867520
3391.00	0.872140
3306.00	0.867180
3331.00	0.868720
3341.00	0.869220
3416.00	0.874160
