# Wavenumber Transmittence
2941.00 0.625220
3076.00 0.601020
3021.00 0.618980
3106.00 0.724060
3131.00 0.829940
3041.00 0.460360
3031.00 0.491300
2921.00 0.667880
2976.00 0.764380
3101.00 0.708440
3146.00 0.858100
2991.00 0.739980
2966.00 0.761280
3046.00 0.489560
2951.00 0.704520
3141.00 0.854080
3071.00 0.601700
2996.00 0.727660
3051.00 0.574200
3091.00 0.650380
2936.00 0.616840
3026.00 0.554680
3006.00 0.697520
3126.00 0.810080
3136.00 0.844460
3001.00 0.712100
3061.00 0.624440
2931.00 0.618560
2971.00 0.767580
2946.00 0.657160
2956.00 0.730640
2986.00 0.749740
2961.00 0.747520
3011.00 0.685480
3096.00 0.694640
3081.00 0.606960
3111.00 0.757980
2926.00 0.631860
3056.00 0.627860
3116.00 0.780180
3086.00 0.619060
3121.00 0.794920
3036.00 0.460880
3066.00 0.613380
3016.00 0.668520
2981.00 0.757460
