# Wavenumber Transmittence
2406.00 0.855980
2226.00 0.850760
2351.00 0.864360
2236.00 0.851080
2381.00 0.858320
2401.00 0.855720
2346.00 0.862460
2301.00 0.856740
2366.00 0.868260
2396.00 0.855520
2411.00 0.856180
2421.00 0.856200
2246.00 0.851580
2311.00 0.858520
2281.00 0.854300
2306.00 0.857420
2371.00 0.865300
2416.00 0.856200
2321.00 0.861100
2276.00 0.853800
2361.00 0.869960
2196.00 0.849700
2241.00 0.851320
2216.00 0.850520
2356.00 0.868480
2221.00 0.850640
2296.00 0.855520
2331.00 0.863720
2231.00 0.850880
2271.00 0.853340
2441.00 0.857120
2426.00 0.856280
2341.00 0.863040
2251.00 0.851820
2376.00 0.861100
2336.00 0.863880
2201.00 0.850120
2291.00 0.855440
2256.00 0.852060
2206.00 0.850260
2386.00 0.857120
2286.00 0.854820
2326.00 0.862600
2266.00 0.852900
2316.00 0.859780
2261.00 0.852400
2431.00 0.856580
2211.00 0.850380
2391.00 0.856100
2436.00 0.856880
