# Wavenumber	Transmittence
896.00	0.841280
851.00	0.842460
701.00	0.675060
741.00	0.525400
726.00	0.297800
901.00	0.844540
911.00	0.844860
746.00	0.616260
831.00	0.832100
751.00	0.720140
806.00	0.841500
906.00	0.845000
846.00	0.841200
886.00	0.839760
786.00	0.844800
706.00	0.634040
716.00	0.544160
711.00	0.600100
791.00	0.841320
836.00	0.835140
821.00	0.838200
781.00	0.839680
816.00	0.836420
921.00	0.843880
856.00	0.843380
771.00	0.840960
866.00	0.844980
871.00	0.845080
926.00	0.844180
891.00	0.838120
881.00	0.843140
876.00	0.845640
811.00	0.841200
841.00	0.838840
801.00	0.839520
826.00	0.835960
776.00	0.841260
766.00	0.839160
756.00	0.805600
796.00	0.839020
721.00	0.504080
736.00	0.495900
916.00	0.844400
861.00	0.844300
761.00	0.831380
731.00	0.215180
