# Wavenumber Transmittence
2761.00 0.858680
2716.00 0.858120
2691.00 0.862600
2726.00 0.854020
2731.00 0.852120
2746.00 0.849680
2821.00 0.854140
2776.00 0.864300
2741.00 0.849640
2706.00 0.860520
2736.00 0.850520
2781.00 0.863780
2756.00 0.854760
2831.00 0.850580
2766.00 0.861720
2856.00 0.815980
2771.00 0.863740
2701.00 0.861220
2801.00 0.861400
2806.00 0.859720
2846.00 0.844520
2816.00 0.855980
2866.00 0.779600
2681.00 0.863120
2791.00 0.863020
2871.00 0.753680
2696.00 0.861960
2836.00 0.848840
2811.00 0.857840
2851.00 0.830880
2841.00 0.847700
2861.00 0.800440
2796.00 0.862420
2826.00 0.852380
2676.00 0.863280
2711.00 0.859520
2751.00 0.851480
2786.00 0.863280
2686.00 0.862920
2721.00 0.856220
