# Wavenumber,Transmittence
846.00,0.841200
771.00,0.840960
831.00,0.832100
856.00,0.843380
801.00,0.839520
881.00,0.843140
916.00,0.844400
901.00,0.844540
836.00,0.835140
841.00,0.838840
816.00,0.836420
861.00,0.844300
921.00,0.843880
796.00,0.839020
786.00,0.844800
866.00,0.844980
811.00,0.841200
891.00,0.838120
776.00,0.841260
931.00,0.845260
821.00,0.838200
871.00,0.845080
851.00,0.842460
876.00,0.845640
791.00,0.841320
911.00,0.844860
926.00,0.844180
766.00,0.839160
781.00,0.839680
906.00,0.845000
896.00,0.841280
886.00,0.839760
826.00,0.835960
806.00,0.841500
