# Wavenumber,Transmittence
946.00,0.852600
751.00,0.720140
876.00,0.845640
826.00,0.835960
906.00,0.845000
956.00,0.854820
841.00,0.838840
951.00,0.854100
761.00,0.831380
851.00,0.842460
941.00,0.848580
881.00,0.843140
871.00,0.845080
836.00,0.835140
911.00,0.844860
821.00,0.838200
921.00,0.843880
846.00,0.841200
776.00,0.841260
791.00,0.841320
786.00,0.844800
796.00,0.839020
891.00,0.838120
866.00,0.844980
741.00,0.525400
816.00,0.836420
801.00,0.839520
856.00,0.843380
931.00,0.845260
771.00,0.840960
936.00,0.846360
861.00,0.844300
811.00,0.841200
926.00,0.844180
756.00,0.805600
766.00,0.839160
896.00,0.841280
781.00,0.839680
961.00,0.854680
746.00,0.616260
736.00,0.495900
901.00,0.844540
831.00,0.832100
806.00,0.841500
966.00,0.854160
916.00,0.844400
886.00,0.839760
